192 0.0098141 7320365 14577 0.0066819 896299 14579
448 0.100631 93038467 76113 0.0723678 11292707 76114
704 0.45435 361132014 186801 0.29635 43741987 186802
960 1.44249 915775626 346643 0.857864 110827050 346645
1216 3.70765 1861291902 555635 2.00809 225130795 555636
1472 7.92938 3301750914 813779 4.04912 399236139 813780
1728 15.7749 5341619096 1121075 7.37454 650193739 1121076
1984 29.2013 8084800420 1477523 12.6341 1006382299 1477524
2240 51.1549 13213664043 1883123 20.3839 2346401771 1883124
